Row: dealer threshold Col: your threshold,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,-995,-1116,-935,-813,-974,-914,-724,-785,-975,-987,-957,-814,-1013,-997,-969,-991,-1058,-840,-822,-1005,-985
2,-1055,-974,-919,-859,-719,-1002,-839,-872,-922,-883,-797,-1025,-859,-1087,-813,-976,-918,-794,-975,-849,-839
3,-930,-946,-971,-971,-977,-1139,-1099,-924,-980,-843,-1101,-867,-1013,-1002,-832,-996,-988,-973,-1047,-973,-1034
4,-1013,-1005,-800,-903,-923,-854,-887,-843,-786,-905,-830,-1137,-859,-839,-950,-932,-926,-873,-968,-1032,-1023
5,-866,-961,-883,-826,-942,-1091,-820,-918,-955,-948,-1060,-857,-897,-980,-1032,-928,-945,-991,-766,-919,-876
6,-1031,-813,-716,-891,-1004,-871,-897,-918,-957,-901,-940,-961,-935,-914,-848,-1003,-842,-962,-910,-1015,-792
7,-988,-694,-829,-987,-855,-822,-845,-894,-1054,-976,-817,-859,-1003,-971,-850,-1025,-1016,-969,-772,-838,-780
8,-842,-836,-855,-989,-906,-863,-1066,-860,-996,-960,-748,-781,-709,-804,-837,-732,-1030,-887,-1013,-917,-910
9,-855,-749,-1060,-877,-830,-964,-865,-1064,-838,-891,-870,-971,-850,-857,-801,-756,-979,-889,-928,-897,-991
10,-969,-965,-1002,-989,-882,-758,-1029,-972,-958,-909,-828,-964,-959,-903,-945,-993,-830,-981,-1007,-876,-835
11,-871,-915,-841,-943,-918,-880,-840,-956,-1028,-1026,-829,-891,-953,-913,-1071,-976,-896,-778,-1047,-1131,-970
12,-867,-889,-860,-811,-991,-870,-925,-898,-902,-935,-916,-920,-767,-1011,-912,-738,-862,-993,-1027,-589,-941
13,-762,-761,-831,-811,-1120,-888,-881,-918,-846,-822,-798,-882,-908,-843,-1040,-913,-1003,-880,-1068,-956,-826
14,-869,-1052,-837,-813,-820,-858,-789,-886,-1051,-902,-1018,-929,-926,-707,-789,-893,-866,-894,-917,-868,-944
15,-844,-852,-896,-728,-836,-1046,-945,-861,-893,-1028,-813,-949,-890,-1016,-925,-960,-948,-941,-810,-803,-920
16,-985,-1037,-950,-844,-812,-1063,-825,-706,-761,-938,-972,-838,-778,-853,-917,-824,-752,-1090,-964,-901,-816
17,-985,-859,-982,-796,-867,-983,-877,-1087,-732,-1020,-866,-1021,-1016,-838,-978,-1061,-868,-992,-912,-929,-1054
18,-896,-982,-979,-938,-974,-998,-977,-1069,-743,-818,-831,-820,-945,-919,-944,-871,-992,-955,-1068,-963,-669
19,-1016,-926,-671,-869,-865,-766,-875,-1084,-862,-957,-913,-940,-961,-813,-856,-993,-942,-931,-957,-763,-965
20,-862,-850,-982,-1016,-843,-1039,-895,-1021,-1002,-978,-912,-945,-862,-1044,-867,-804,-731,-863,-1008,-887,-1021
21,-1021,-901,-814,-996,-874,-868,-834,-689,-836,-852,-923,-892,-923,-877,-962,-650,-888,-1007,-819,-894,-832
